GroupID,Group Name,Group Type,Contact Name,Active,City
760,"National Federation of Independent Business Nevada Political Action Committee","Political Action Committee","Randi Thompson",F,"Washington"
762,"3M Company PAC  (fka Minnesota Mining and Manufacturing)","Political Action Committee","Eric Dornak",F,"St Paul"
764,"LVCEA-PAC","Political Action Committee","DeAndre Caruthers",T,"Las Vegas"
769,"It's a Matter of Trust","PAC Ballot Advocacy Group","John F Wiles",F,"Boulder City"
772,"PROPAC","Political Action Committee","Paul R Brown",F,"Las Vegas"
773,"Nevada Bankers Association","Political Action Committee","Phyllis Gurgevich",T,"LAS VEGAS"
776,"SBC Nevada Employee PAC","Political Action Committee","Kris Wells",F,"Reno"
777,"Nevada Contractors Association","Political Action Committee","Sean Stewart",F,"Las Vegas"
778,"Nevada Auto Dealers Election Action Committee  (NADEAC)","Political Action Committee","Andrew J. MacKay",T,"Reno"
779,"Take the State","Political Action Committee","James F. Clark",F,"Incline Village"
780,"Victory 98 PAC","Political Action Committee","Lindsey Jydstrup",F,"Las Vegas"
781,"Nevada Physical Therapy PAC","Political Action Committee","Susan Priestman",F,"Las Vegas"
784,"Nevada Hospital Association HealthPAC","Political Action Committee","Patrick D. Kelly",T,"Reno"
787,"Building and Construction Trades Council of No NV COPE","Political Action Committee","Robert Benner",T,"Sparks"
788,"Sunrise Healthcare System Good Government PAC Fund","Political Action Committee","William Ziesmer",F,"Las Vegas"
789,"Southern California-Nevada Regional Council of Carpenters","Political Action Committee","Fredrick L. Wilkening",F,"Las Vegas"
790,"NAIFA Nevada","Political Action Committee","John Messina",T,"Las Vegas"
792,"ABC Southern Nevada PAC","Political Action Committee","Jeremy J. Nork",F,"Las Vegas"
793,"Southern Nevada Concrete & Aggregates Association PAC","Political Action Committee","Greta Morrell",T,"HENDERSON"
794,"SNEA Political Information Committee","Political Action Committee","Robert J. Gagnier",F,"Carson City"
797,"White Pine Association of Classroom Teachers TIP","Political Action Committee","Sue S Matuska",T,"Ely"
798,"Carson Build PAC","Political Action Committee","Aaron West",F,"Carson City"
799,"ABC Sierra Nevada PAC","Political Action Committee","",F,"Sparks"
800,"INTERNATIONAL ASSOC OF FIRE FI","Political Action Committee","William C. Webster, Jr.",F,"Washington"
801,"IBEW Local 357 PAC","Political Action Committee","Roy Kimball",F,"Las Vegas"
804,"Elko County REALTORS Political Action Committee (ECRPAC)","Political Action Committee","Denise Taylor",T,"Elko"
805,"Reno Fire Fighters Association","Political Action Committee","Ken McLellan",T,"RENO"
808,"AGC PAC","Political Action Committee","Craig Mandole",T,"Reno"
812,"Clark County Education Association - TIP","Political Action Committee","Steve Sorensen",T,"Las Vegas"
813,"Democratic Senate Leadership PAC","Political Action Committee","Dina Titus",F,"Las Vegas"
815,"IATSE 720 Legislative Co","Political Action Committee","Michael A. Urban",F,"Las Vegas"
821,"UAW Region 6 Western States PAC","Political Action Committee","Larry Wilson",T,"Pico Rivera"
823,"Kennecott PAC","Political Action Committee","J. William McNulty, Esq",F,"Salt Lake City"
826,"Farmers Employees & Agents Nevada PAC","Political Action Committee","Rick Schnider",T,"Las Vegas"
827,"Clark County Fire Fighters Local 1908 PAC","Political Action Committee","Ron Atiyeh",T,"Las Vegas"
830,"Nevada Independent Voters","Political Action Committee","Carter R King",F,"Reno"
835,"Bank of America Nevada PAC","Political Action Committee","",F,"CHARLOTTE"
836,"Nevada Subcontractors Association (NSA PAC)","Political Action Committee","Shumway Van",T,"LAS VEGAS"
837,"Citigroup Inc. PAC - State  (Citi PAC-State)","Political Action Committee","Barbara Mulholland",F,"Washington"
839,"Silver State Leadership Alliance","Political Action Committee","Richard Perkins",F,"Las Vegas"
842,"Coalition for the Protection of Marriage","Political Action Committee","Albright Stoddard Warnick Albr",F,"Las Vegas"
843,"Dairy Farmers of America-Dairy Educational PAC","Political Action Committee","Albert Trace",F,"Corona"
846,"CROWN POLITICAL ACTION COMMITTEE","Political Action Committee","David Olmedo",F,"Boise"
850,"The Nevada Victory Fund","Political Action Committee","Paul Grace",F,"Reno"
853,"Citizens for Accountable and Responsible Elections","Political Action Committee","Lee Wayne Haynes",F,"Boulder City"
856,"Citizens and Taxpayers PAC-Nevada","Political Action Committee","Susan M. Reaser",F,"Miami"
857,"Democrat Republican Independent Voter Education","Political Action Committee","Mark Shumar",F,"Washington"
865,"Millenium Assembly Leadership Fund","Political Action Committee","Barbara Buckley",F,"Las Vegas"
869,"Political Action for Candidate Election (PACE) Nevada","Political Action Committee","Mark Nichols",F,"Las Vegas"
870,"Nevada Resort Association PAC   (inactive)","Political Action Committee","Matthew M Griffin",F,"Las Vegas"
871,"Equal Rights Nevada","Political Action Committee","Elizabeth Moore",F,"LAS VEGAS"
873,"Nevada Victory 2000","Political Action Committee","Lindsey Jydstrup",F,"Las Vegas"
875,"Peace Officers Research Association of Nevada","Political Action Committee","Tim Ross",F,"Reno"
885,"Southern Nevada Elevator Constructors Political Action Fund","Political Action Committee","Mario Vicchiullo",F,"Las Vegas"
887,"Wyeth Good Government Fund","Political Action Committee","James A. Ferguson",F,"Madison"
889,"Republican Legislators Joint Caucus","Political Action Committee","Bob Beers",F,"Las Vegas"
895,"CLARK COUNTY NSEA-TIP COORDINATING COUNCIL","Political Action Committee","Robert Broniecki",F,"Las Vegas"
904,"Informed Citizens for Quality Government","Political Action Committee","Robert W Shively",F,"Mesquite"
907,"Nevada Business Coalition","Political Action Committee","paracorp incorporated",F,"Las Vegas"
908,"Enterprise Mobility Political Action Committee","Political Action Committee","John Bernier",T,"St Louis"
910,"Duke Energy Corporation PAC","Political Action Committee","Robert Campbell",F,"Charlotte"
911,"Glaziers Union Local 2001 PAC","Political Action Committee","Jason Lamberth",F,"Henderson"
914,"Mirant Corporation PAC","Political Action Committee","Greg Weber",F,"Atlanta"
916,"Sustainable Growth Committee","Political Action Committee","Judith Kohz",F,"Minden"
917,"Verizon Communications Inc Good Government Club","Political Action Committee","Karen A. Peterson",F,"Sacramento"
920,"Kindred Healthcare Inc., PAC","Political Action Committee","Sieglinde Donohue",F,"Louisville"
921,"Bristlecone PAC","Political Action Committee","Dina Titus",F,"Henderson"
933,"Nevada Conservation League   (not active)","Political Action Committee","April Mastroluca",F,"Las Vegas"
934,"ACME Enterprises PAC","Political Action Committee","Mark H. Fiorentino",T,"Las Vegas"
936,"Citizens for Good Government","Political Action Committee","James Bradshaw",F,"Carson City"
938,"Citizens for Henderson Neighborhood Libraries","Political Action Committee","",F,"Henderson"
946,"MedPAC #566","Political Action Committee","Janice Poblete",F,"Las Vegas"
948,"Citizens for Responsible Government PAC","Political Action Committee","John Sanford",T,"Las Vegas"
949,"Nevada Correctional Peace Officer PAC","Political Action Committee","Walter R. Tarantino",F,"Carson City"
953,"Republican Women of Nevada","Political Action Committee","Dan Burdish",F,"Las Vegas"
954,"Citizens for Leadership","Political Action Committee","Mark Smith",F,"LAS VEGAS"
956,"Republican Assembly Leadership Caucus","Political Action Committee","Eric Roberts",F,"Las Vegas"
962,"Las Vegas Service Trades Council","Political Action Committee","Deanna Leivas",T,"Las Vegas"
963,"Washoe County Democratic Women's Club","Political Action Committee","Martha B. Gould",F,"Reno"
965,"Nevada Psychiatric Association","Political Action Committee","Lesley R. Dickson, MD",T,"Las Vegas"
967,"Nevada Chiropractic Association  (NCA)","Political Action Committee","Derek T Day, D.C.",F,"N Las Vegas"
969,"Keep Our Doctors in Nevada","Political Action Committee","Rudy R Manthei D.O.",F,"Henderson"
970,"United Nevada","Political Action Committee","Brett Scolari",F,"Reno"
972,"Fortis PAC","Political Action Committee","Dale Fratianne",F,"Milwaukee"
973,"CRC PAC","Political Action Committee","Tony Dane",F,"Las Vegas"
978,"Silver State Leadership Fund","Political Action Committee","Dave Turner",F,"Reno"
979,"Nevada Political Action For Animals","Political Action Committee","Vernon Weir",F,"Las Vegas"
980,"Carson City Democratic Women","Political Action Committee","Barbara T LeBlanc",T,"Carson City"
981,"The Committee to Keep Nevada Respectable","Political Action Committee","Sean Fellows",F,"Las Vegas"
982,"NRA Political Victory Fund","Political Action Committee","Greg Ferrante",T,"Fairfax"
983,"T.W.P.","Political Action Committee","T. James Truman",F,"Las Vegas"
985,"Nevada Soft Drink Association","Political Action Committee","L and R Service Company of Nevada,",F,"Reno"
987,"Bank of America Corporation State and Federal Political Action Committee","Political Action Committee","Steven L McCracken",T,"Wilmington"
988,"United Food & Commercial Workers Local 711","Political Action Committee","Michael Gittings",T,"Las Vegas"
994,"United Nevada Leadership Fund","Political Action Committee","Kyle J. Stephens",F,"Las Vegas"
996,"American Resort Development As","Political Action Committee","Karen Dennison Esq",F,"Washington"
998,"IMPACTO","Political Action Committee","Otto Merida",F,"Las Vegas"
1000,"Citizens for Ethics in Politics","Political Action Committee","Lisa Mayo-Deriso",F,"Las Vegas"
1004,"Harley-Davidson PAC of Nevada","Political Action Committee","Elizabeth Baker",T,"Milwaukee"
1005,"Cingular Wireless LLC Employee PAC","Political Action Committee","James Jackson Esq",F,"Atlanta"
1006,"Clark County OB/GYN PAC","Political Action Committee","Michael L. Peters",F,"Las Vegas"
1009,"Laborers Political League","Political Action Committee","Thomas A Morley",F,"Las Vegas"
1010,"Queenstake Jerritt Canyon Employee","Political Action Committee","Paul Dyer",F,"Elko"
1013,"Southwestern Employers PAC","Political Action Committee","Laura Billman",F,"Pahrump"
1014,"Nevadans for Sound Government","Political Action Committee","George Harris",T,"Las Vegas"
1015,"Nevada Republic Alliance","Political Action Committee","Michael Kinney",T,"Reno"
1016,"Truckee Meadows Democratic Alliance","Political Action Committee","O''Neill Sanders",F,"Reno"
1017,"National Organization for the Reform of Marijuana Laws PAC","Political Action Committee","Nancy Lord Johnson Esq",F,"Washington"
1021,"EUREKA COUNTY TEACHERS ASSOCIA  (inactive)","Political Action Committee","Sandra Lawrence",F,"Eureka"
1024,"Education First Initiative","PAC Ballot Advocacy Group","Diane Sherman",F,"Reno"
1025,"LEGISLATIVE BUSINESS PAC - ANN O'CONNELL","Political Action Committee","Ann OConnell",F,"Las Vegas"
1026,"The Speakers Outreach Program","Political Action Committee","James L. Burns",F,"Las Vegas"
1027,"Securities Rules and Regulations PAC","Political Action Committee","Mark DeStefano",F,"Las Vegas"
1028,"Nevada Psychological Association PAC","Political Action Committee","Wendi H O'Connor",T,"Las Vegas"
1032,"MBNA Corporation Federal Political Committee","Political Action Committee","John P. Sande III",F,"Wilmington"
1033,"Nevada State Association of Health Underwriters Political Action Committee","Political Action Committee","Dwight M. Mazzone",F,"Las Vegas"
1034,"Committee to Regulate and Control Marijuana CRCM","Political Action Committee","Laurence Sandell",F,"Las Vegas"
1035,"Democratic Party of Washoe County","Political Party Committee","Bruce Comer",T,"Reno"
1036,"Builders Association of Northern Nevada   (BANN-PAC)","Political Action Committee","Dan Morgan",T,"Reno"
1037,"Nye County Classroom Teachers Association TIP","Political Action Committee","Sue S Matuska",T,"Pahrump"
1040,"International Union of Operating Engineers, Stationary Engineers Local No. 39 Nevada PAC","Political Action Committee","Jerry Frederick",F,"San Francisco"
1047,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","Political Action Committee","Monna Miller",F,"Washington"
1048,"AMERICAN VETERANS ADVISORY GROUP","Political Action Committee","Brian H. Broadus",F,"Las Vegas"
1050,"AngloGold Employee Committee for Effective Nevada Government","Political Action Committee","Greg Struble",F,"Greenwood Village"
1054,"BORPAC COMMITTEE","Political Action Committee","Hazelmae M. Tipton",F,"Fallon"
1065,"Citizens Against Service Taxes   (""CAST"")","Political Action Committee","Kemp Jones & Coulthard, LLP",F,"Las Vegas"
1071,"Lander County Classroom Teachers Association TIP","Political Action Committee","Sue S Matuska",T,"Battle Mountain"
1081,"NEVADA DEMOCRATIC LEADERSHIP COALITION","Political Action Committee","Amy S Ayoub",F,"Las Vegas"
1093,"NEVADANS FOR CHANGE","Political Action Committee","Charles W. Ivy",F,"Las Vegas"
1102,"NHU PAC  (NEVADA ASSOCIATION OF STATE HEALTH UNDERWRITERS)","Political Action Committee","Constance Aldridge",F,"Reno"
1104,"North Las Vegas Police Officers PAC","Political Action Committee","Scott Hafen",F,"Las Vegas"
1149,"10-20-LIFE","Political Action Committee","David Humke",F,"Las Vegas"
1158,"Shlincoln PAC","Political Action Committee","Mark H Fiorentino",T,"Las Vegas"
1159,"Household International, Inc.","Political Action Committee","Steve Linder",F,"Prospect Heights"
1161,"Washoe County Sheriff's Deputies Association","Political Action Committee","Cameron Wagner",F,"Reno"
1162,"Nevadans for National Average","Political Action Committee","Debbie Cahill",F,"Las Vegas"
1164,"Smaxy PAC","Political Action Committee","Mark H. Fiorentino",T,"Las Vegas"
1165,"Committee for Truth In Politics","Political Action Committee","Doug Roundy",F,"Las Vegas"
1166,"NevadaCare PAC","Political Action Committee","John Murtha",F,"Las Vegas"
1168,"Democracy For Nevada","Political Action Committee","Matthew J Dickson",F,"Sparks"
1169,"S.A.F.E. PAC","Political Action Committee","Felix P. Lockwood",F,"Minden"
1171,"ARDA ROC-PAC","Political Action Committee","Tia White",T,"Washington"
1173,"America Coming Together - Neva","Political Action Committee","Terence Tolbert",F,"Washington D.C."
1174,"White Rabbit PAC","Political Action Committee","Jake McNeill",T,"Reno"
1175,"Sierra Nevada REALTORS Political Action Committee","Political Action Committee","April LaBrie",T,"Reno"
1176,"Nevada Tavern Owners Association PAC","Political Action Committee","Rodney Scott Olson",F,"Las Vegas"
1177,"NEA Fund for Children and Public Education","Political Action Committee","Sue Matuska",T,"Washington"
1178,"ING America Insurance Holdings","Political Action Committee","Tara Hagan",F,"Windsor"
1180,"Douglas County Democratic Women","Political Action Committee","Katherine K. Godbey",T,"Minden"
1181,"Douglas County Democratic Central Committee","Political Party Committee","Deni Caster",T,"Minden"
1182,"CWA - Committee on Political Education","Political Action Committee","Marc Ellis",T,"Washington"
1183,"Community Pride Fund","Political Action Committee","Jim Bilbray",F,"Arlington"
1185,"Nevadans For Freedom of Choice","Political Action Committee","Patricia D Cafferata",F,"Reno"
1187,"Citizens for Fair Taxation","Political Action Committee","Michael Alonso",F,"Las Vegas"
1188,"Coalition for Legislative Integrity","Political Action Committee","Michael Alonso",F,"Las Vegas"
1189,"Legislative Watch","Political Action Committee","Michael Alonso",F,"Las Vegas"
1191,"Coalition to Keep Brothels Out of Churchill County","Political Action Committee","Alan J. Perazzo",F,"Fallon"
1192,"Nevada Justice PAC","Political Action Committee","Helen Margulis",F,"Henderson"
1195,"Nevada Health Care Association Quality First Political Action Committee  (NHCA Quality First - PAC)","Political Action Committee","Kevin Benson",F,"Henderson"
1196,"Nevada State Medical Association","PAC Ballot Advocacy Group","",F,"Reno"
1197,"Sustainable Growth Initiative   (inactive)","PAC Ballot Advocacy Group","",F,"Gardnerville"
1198,"Yes on Question 6","Political Action Committee","Gail Tuzzolo",F,"Carson City"
1199,"Alrus Consulting","PAC Ballot Advocacy Group","",F,"Reno"
1200,"Yes on Questions 4 and 5","Political Action Committee","Beverly Salhanick Esq",F,"Las Vegas"
1201,"Libertarian Party of Nevada","Political Party Committee","",F,"Las Vegas"
1204,"Nevada Taxpayers Association","PAC Ballot Advocacy Group","Carol Vilardo",F,"Carson City"
1205,"Assembly Democratic Caucus","Political Party Committee","",T,"LAS VEGAS"
1206,"Nevadans Against Frivolous Lawsuits","PAC Ballot Advocacy Group","",F,"Las Vegas"
1207,"Nevada Republican State Central Committee","Political Party Committee","",F,"Las Vegas"
1208,"Clark County Democratic Party","Political Party Committee","Joseph Throneberry",T,"LAS VEGAS"
1209,"Nevada State Democratic Party","Political Party Committee","Christopher Guy",T,"LAS VEGAS"
1210,"Washoe County Republican Central Committee","Political Party Committee","Patricia Miller, Treasurer",T,"Reno"
1211,"Senate Republican Leadership Conference","Political Action Committee","Heidi Gansert",T,"RENO"
1212,"Democratic Legislative Caucus","Political Party Committee","",F,"Las Vegas"
1213,"Lyon County Republican Central Committee","Political Party Committee","Anita Dayton",T,"Silver Springs"
1215,"Clark County Republican Central Committee","Political Party Committee","Sally Minster",T,"LAS VEGAS"
1216,"Southern Nevada Central Council Committee on Political Education","Political Action Committee","Debra Berko",F,"Henderson"
1217,"Washoe Education Association Together in Politics","Political Action Committee","Sue S Matuska",T,"Reno"
1218,"Operating Engineers Local Union No 12 Political Fund","Political Action Committee","Shawn Kinsey",T,"Pasadena"
1220,"Culinary Workers Union Local 226","Independent Expenditure","",F,"Las Vegas"
1221,"United Food and Commercial Workers Issue Education Fund","Political Action Committee","Deborah Fortuna",F,"Buena Park"
1222,"IUOE, Stationary Engineers Local No. 39 Nevada PAC","Political Action Committee","Jerry Frederick",T,"San Francisco"
1225,"Clark County Republican Party","Political Party Committee","",F,"Las Vegas"
1226,"Sierra Nevada Republican Women","Political Action Committee","Natalie Yanish",T,"Minden"
1228,"Nevada Tobacco Prevention Coalition","PAC Ballot Advocacy Group","",F,"Reno"
1229,"Brush Engineered Materials Good Government Fund","Political Action Committee","Stefan Magyari",F,"Cleveland"
1230,"Nevada Insurance Individuals Insurance PAC (NIIPAC)","Political Action Committee","",F,"Carson City"
1231,"The Chairman's Fund","Political Action Committee","David W Turner",F,"Reno"
1232,"Citizens for Integrity","Political Action Committee","State Agent and Transfer Syndi",F,"Reno"
1233,"Democracy for America - NV","Political Action Committee","Margery Hanson",F,"Burlington"
1236,"Planned Parenthood Advocates Mar Monte Candidate PAC","Political Action Committee","Daela Gibson",F,"Sacramento"
1237,"Citizens in Support of the Fire District","Political Action Committee","Chris Murphy",F,"Fernley"
1238,"Cardinal Health Inc","Political Action Committee","Ali Rizvi",F,"Dublin"
1239,"Alliance For Nevada's Working Families","Political Action Committee","Julie Whitacre",F,"Las Vegas"
1240,"Nevada Justice Fund","Political Action Committee","State Agent and Transfer Syndi",F,"Las Vegas"
1241,"SNMIC PAC 1241","Political Action Committee","Frank A Mengwasser",F,"Henderson"
1242,"HSBC North America PAC","Political Action Committee","Steve Linder",F,"Washington"
1243,"Gay and Lesbian Victory Fund","Political Action Committee","Paul G. DeVido",F,"Washington"
1244,"Eagle Forum PAC","Political Action Committee","Lynn Chapman",F,"Alton"
1248,"American College of Surgeons Professional Association","PAC Ballot Advocacy Group","Jon Sutton",F,"Chicago"
1249,"International Union of Elevator Constructors Local 8 PAC","Political Action Committee","Curtis Eckllund",F,"Reno"
1252,"Nevada Tax PAC","Political Action Committee","Gilbert Eisner",F,"Las Vegas"
1253,"Friends of Ballardini","Political Action Committee","Ken Rose",F,"Reno"
1255,"Republican Women of Reno","Political Party Committee","",F,"Reno"
1257,"Carpenters Legislative Improvement Committee","Political Action Committee","Robert Welch",F,"Washington D.C."
1258,"Ward 1 Clean Up Team","Recall Committee","Lee Wayne Haynes",F,"Las Vegas"
1259,"Citizens to Recall Janet Moncrief","Recall Committee","Charles Gallagher",F,"Las Vegas"
1260,"Committee To Recall Janet Moncrief","Recall Committee","Larry Anspach",F,"Las Vegas"
1262,"Nevada Republicans for Victory","Political Action Committee","Nathan Emens",F,"Las Vegas"
1263,"Voices for Truckee Meadows","Independent Expenditure","",F,"Reno"
1264,"OPAC","Political Action Committee","Oscar Goodman",F,"Las Vegas"
1266,"Nevadans Against Domestic Violence","Political Action Committee","Catherine Lin Schlesinger",F,"Las Vegas"
1267,"ACEC Nevada PAC","Political Action Committee","Russell Rowe",T,"Las Vegas"
1269,"Rural Nevada Democratic Caucus","Political Action Committee","Karen L. McEntire",F,"Carson City"
1270,"Citizens for Fiscal Responsibility","Political Action Committee","Douglas Scheppmann",F,"Boulder City"
1271,"United Food and Commercial Workers Region 8 States Council Political Education","Political Action Committee","",F,"Buena Park"
1272,"Democratic Alliance of Northern Nevada","Political Action Committee","",F,"Reno"
1274,"Citizens Protecting Douglas County","Political Action Committee","",F,"Carson City"
1276,"Lyon County Democratic Central Committee","Non-Profit Corporation","Shirley Silva",F,"Silver Springs"
1277,"Coalition to Protect the Future of Boulder City","Political Action Committee","Nancy A. Nolette",F,"Boulder City"
1279,"Citizen Outreach PAC","Political Action Committee","Chuck Muth",T,"Las Vegas"
1280,"Committee for Election Justice","Political Action Committee","Patricia Cafferata",F,"Reno"
1284,"Sierra Club Southern Nevada Group PAC","Political Action Committee","Anne Johnson",F,"Las Vegas"
1286,"College Republicans of Nevada","Political Action Committee","George Higgins",F,"Carson City"
1287,"ATT Nevada Employee PAC","Political Action Committee","Kris Wells",F,"Reno"
1288,"NLVPAC","Political Action Committee","Michael W. Kern",F,"Las Vegas"
1290,"Nevadans Committed to Education","Political Action Committee","Francisco Aguilar",F,"Las Vegas"
1291,"Democratic Governors Association - Nevada","Political Action Committee","Daniel Bravo",F,"Washington"
1295,"Park PAC","Political Action Committee","Greg Ferraro",F,"Reno"
1296,"U.S. Bancorp Political Participation Program","Political Action Committee","Clark Alan Wood",T,"Washington"
1297,"Majority Fund PAC","Political Action Committee","Warren Hardy",F,"Las Vegas"
1301,"Peoples Initiative to Stop the Taking of Our Land","Political Action Committee","Don Chairez",F,"Las Vegas"
1303,"ELKO COUNTY DEMOCRATIC CENTRAL COMMITTEE","Political Party Committee","Lindy S Johnson",F,"Elko"
1304,"McKenna Long and Aldridge PAC","Political Action Committee","Eric Tanenblatt",F,"Atlanta"
1307,"Republican State Leadership Committee - Nevada","Political Action Committee","Piers Tueller",T,"Washington"
1308,"Nevadans for Tobacco Free Kids","PAC Ballot Advocacy Group","",F,"Reno"
1310,"International Union of Operating Engineers Local 501","Political Action Committee","Thomas O''Mahar",F,"Los Angeles"
1312,"Pakistani American Nevadans Political Action Committee","Political Action Committee","Dr. Ikram Khan",T,"Henderson"
1313,"Carson City BiPartisan","Political Action Committee","Shelly Aldean",F,"Carson City"
1316,"Smoke Free Coalition","PAC Ballot Advocacy Group","",F,"Las Vegas"
